#timestamp x y z qx qy qz qw id
0.103000 0.202537 -0.000284 0.504990 0.003119 0.002508 0.007129 0.999967 1
47.707000 0.306449 0.013979 0.290078 0.025388 -0.024298 0.032718 0.998847 47
56.006000 0.412883 0.039075 0.273265 -0.015650 0.010031 0.049604 0.998596 55
61.007000 0.514403 0.028910 0.272001 -0.009249 0.006083 0.023173 0.999670 60
62.007000 0.491424 0.089871 0.276339 -0.011320 0.005190 0.182906 0.983052 61
63.007000 0.425463 0.147790 0.273794 -0.008715 -0.000997 0.406846 0.913455 62
64.007000 0.327363 0.186526 0.278967 0.001645 -0.001885 0.624431 0.781076 63
65.009000 0.293596 0.194502 0.282633 0.003182 -0.004289 0.688501 0.725216 64
68.009000 0.301567 0.308080 0.283050 0.009003 -0.002619 0.694367 0.719560 67
71.109000 0.322641 0.416436 0.292559 0.018165 -0.001905 0.686278 0.727110 70
72.109000 0.293188 0.408015 0.285756 0.021610 0.001050 0.726240 0.687101 71
74.210000 0.238251 0.409960 0.285959 0.008533 -0.011473 0.836654 0.547544 73
76.409000 0.189939 0.552101 0.289675 0.004799 -0.004264 0.825634 0.564169 75
78.509000 0.150128 0.589332 0.282282 0.018028 -0.004948 0.871663 0.489749 77
80.510000 0.099329 0.604111 0.288328 0.026261 0.002646 0.903873 0.426985 79
81.510000 0.049885 0.517649 0.276100 -0.001119 -0.020012 0.983284 0.180972 80
82.510000 0.048822 0.464827 0.280033 -0.000533 -0.007772 0.998481 0.054546 81
87.609000 -0.024466 0.418301 0.293365 0.024564 -0.020475 0.993174 -0.112175 86
88.610000 -0.049153 0.417150 0.283119 -0.018882 0.021813 0.984933 -0.170510 87
89.709000 0.047438 0.324078 0.287641 0.003434 0.001426 0.896674 -0.442677 88
91.710000 -0.033268 0.219519 0.285775 0.002806 0.000173 0.896204 -0.443633 90
93.809000 -0.019224 0.144897 0.283511 0.000820 0.005370 -0.812379 0.583105 92
96.909000 0.001214 0.034562 0.288558 0.007851 -0.035429 -0.689792 0.723098 95
99.009000 -0.005303 -0.092037 0.285205 -0.002313 -0.014886 -0.712814 0.701192 97
102.109000 0.028314 -0.155377 0.284472 -0.009323 0.002441 -0.658201 0.752780 100
105.211000 0.081085 -0.180421 0.288315 -0.039499 -0.004962 -0.601126 0.798162 103
106.211000 0.139089 -0.124271 0.282486 0.002722 0.000173 -0.396873 0.917869 104
107.211000 0.179122 -0.029531 0.283601 0.005037 -0.001169 -0.151297 0.988475 105
108.211000 0.159510 0.034538 0.283527 -0.014273 -0.028979 0.004641 0.999467 106
